filename,text
23-07-21_10-49-45-6_001.wav,Sierra Foxtrot Delta dráha dva nula střední vítr jedna šest nula stupňů tři knoty
23-07-21_10-49-51-8_001.wav,dráha pro přistání dva nula střed
23-07-21_10-51-06-8_001.wav,a Kunovice Information Sierra Foxtrot Delta vstupujeme do pravého basu dva nula střed na přistání
23-07-21_10-51-13-9_001.wav,Sierra Foxtrot Delta dráha dva nula střední volná vítr klid
23-07-21_10-52-39-2_001.wav,a Kunovice Information Sierra Foxtrot Delta máme finále dva nula střed
23-07-21_10-52-44-2_001.wav,Sierra Foxtrot Delta dva nula střed volná vítr jedna tři nula stupňů čtyři uzly
23-07-21_10-53-34-3_001.wav,Kunovice Information Sierra Foxtrot Delta po přistání a pokračujeme zpět po dráze Alphou na stání dva
23-07-21_10-53-44-0_001.wav,volno až na stání dva Kunovice
23-07-21_11-04-46-4_001.wav,Kunovice Věž Oscar Kilo Alpha Uniform India Osm Nula dobrý den
23-07-21_11-04-57-9_001.wav,Oscar Kilo Alpha Uniform India Osm Nula Kunovice Information dobrý den
23-07-21_11-05-03-0_001.wav,a je to VFR let z Medlánek do Kunovic aktuálně tři minuty do bodu Whiskey žádám o vstup do CTR a přistání v Kunovicích Oscar Kilo Alpha Uniform India Osm Nula a QNH jedna nula jedna jedna
23-07-21_11-05-22-5_001.wav,máme aktivní pouze ATZ QNH správně CAVOK a teplota dva pět
